,Tweet_id,User_id,TweetAt,Location,OriginalTweet,Country
71,1397686329564147721,154223624,2021-05-26 22:49:23,172.16.254.1,"@DrZweliMkhize 26 May 2021 #Covid19InSA  
Cases;1645555
Deaths;56077(3.4%)
Recoveries;1546583(94.1%)
T-tested;11452185
Phase 1 Vaccinated;479 768
ActiveCases;42895
Daily Positivity; 10.1%
New cases;4623
New Deaths;101
New recovery;2632
Pfizer Vaccine;282135
Phase 2 daily vaccinated;60999 https://t.co/VdwImOwIQY",United States
73,1397686324115689474,1364920154497277956,2021-05-26 22:49:22,"Los Angeles County, CA","NEW: CVS #17648 on 05-28
Age Group: Unknown

Address: 30740 Russell Ranch Rd, Westlake Village, CA 91362
Posted @ 1622069362
https://t.co/0mws9GGZhU",United States
77,1397686310580723718,1364920154497277956,2021-05-26 22:49:18,"Los Angeles County, CA","NEW: CVS #17593 on 05-29
Age Group: Unknown

Address: 809 N Azusa Ave, Azusa, CA 91702
Posted @ 1622069359
https://t.co/0mws9GGZhU",United States
80,1397686301940277248,721648991767662593,2021-05-26 22:49:16,"Sydney, New South Wales",horny for the vaccine !!,Australia
81,1397686300308742144,2967546956,2021-05-26 22:49:16,Australia,#AstraZeneca uptake will increase with return of covid. As the only choice for over 50 some will die some will be harmed all because @ScottMorrisonMP @GregHuntMP . Failed to provide safe quarantine failed on #COVIDisAirborne failed to procure appropriate vaccine. YOU HAVE TO GO,Australia
82,1397686300166217735,1097668963419516928,2021-05-26 22:49:16,"the Town of Trenches, Kingston",Turns out the guy that helped spawn the modern anti-vaxx movement with a study linking vaccines to autism did it so he could get investors for an alternative vaccine he had patented a few months prior to publishing his study. Ain't capitalism grand. https://t.co/WIZsXBZfsa,N/A
83,1397686292297793543,43064490,2021-05-26 22:49:14,"Victoria, Australia","Reported yesterday: 12 new local cases and no new cases acquired overseas. 
- 12,677 vaccine doses were administered 
- 40,411 test results were received 

More later: https://t.co/lIUrl0ZEco 

#COVID19Vic #COVID19VicData https://t.co/e9rfizWbGp",Australia
84,1397686287532916737,3145677894,2021-05-26 22:49:13,"Melbourne, Victoria","The vaccine rollout, and the comms surrounding it, have been abysmal. Australia is once again the laughing stock of the world. (3",Australia
85,1397686285423104004,2808589412,2021-05-26 22:49:12,,also got my vaccine https://t.co/VOXXHpLehv,Italia
88,1397686278926344195,65423567,2021-05-26 22:49:11,"Kitsap County, Washington","Vaccination with a view! 
May 25th through May 27th &amp; June 1st through June 3rd
Bremerton-Seattle during mid-morning/afternoon sailings

Offering both the Pfizer vaccine &amp; the 1-dose J&amp;J vaccine.
Coordinated by Peninsula Community Health Services &amp; @wsferries. https://t.co/Z1QXu1mwQQ",United States
89,1397686278863347714,1078486214,2021-05-26 22:49:11,,@VeronicaSam13 Count your lucky stars you aren't ibn Missouri. I worry that they will fine me for getting a vaccine. Seriously. We are having a COVID spike in my area and they are blaming it on the vaccinated.,Italia
90,1397686276661202948,799696784519938048,2021-05-26 22:49:10,News ,Tennessee anti-vaxxer arrested after deliberately plowing car through vaccination site https://t.co/H0SjKtzVEM,Canada
91,1397686276158103556,1377990296202543110,2021-05-26 22:49:10,Canada,"@VaxHuntersCan Also this clinic starting this week in @regionofpeel 

Book: 
https://t.co/wkql4KdRmD https://t.co/nFWPmyxRw5",Canada
94,1397686274211864578,2844463167,2021-05-26 22:49:10,Mines a half of shandy please.,"@lisa_cara19 @bexhc73 @thereclaimparty @LozzaFox Amazing you think we shouldn't be afraid of a virus that you say kills ""only"" 1% of those who it infects, yet you think we should be afraid of a vaccine which kills 0.001%",N/A
95,1397686271666016260,22462270,2021-05-26 22:49:09,Moscow,"Resistance to vaccine mandates is building. A powerful law firm is helping. 
By Isaac Stanley-Becker

https://t.co/C2nvvyjXdT",Россия
96,1397686258122493954,788524,2021-05-26 22:49:06,,British &amp; Irish Lions players given first Covid vaccine doses before tour https://t.co/1RQqfsRS8I,Italia
97,1397686255136100352,16995239,2021-05-26 22:49:05,,"Malaysia's vaccine equity is pitting an over-65 year old person who has a 5.6% of dying if infected by Covid against a below 50 years old who have only a 0.14% chance of dying.

Pit a weak elderly with a 40 times higher probability of dying vs a high tech young person.

Cerdik",Italia
98,1397686253219287044,3866664433,2021-05-26 22:49:05,"Seaford, Melbourne, Victoria",@StartupShelley Interesting to read the Twitter responses to Greg Hunt after announcing lots of vaccinations in response to growing sites. There is shift towards people saying where is the vaccine and why is hotel quarantine not better federally regulated.,Australia
99,1397686252355395587,4127194814,2021-05-26 22:49:04,ocuppied Lənape Haki-nk,"@Baldscientist I'm not an epidemiologist,  obviously,  but I'm not comfortable just giving up on my mask. Plus there are people who are immunosuppressed who may not be able to get a vaccine and I'd rather protect them by wearing a mask.",N/A
100,1397686252254765057,858784008,2021-05-26 22:49:04,,@catsandbuds420 Yes I would get vaccine.,Italia
101,1397686241554956289,819519128985681920,2021-05-26 22:49:02,,@TheAviator1992 How can you have heard immunity when the vaccines do not stop infection or transmission. Wake up. Vaccine antibodies last 5 weeks. That is all and then they start to wane. #ivermectine is the actual answer. Look at what the Pfizer TGA doc says. https://t.co/BkZKSDa0d1,Italia
102,1397686239130578945,111803463,2021-05-26 22:49:01,Seattle,"@Sdhey19 @Regina_Griffin @apoorva_nyc Some people's immune systems just aren't as good as others at responding. True of any virus. But testing positive for Covid twice, months apart, is still pretty rare. Fingers crossed the vaccine will give you the boost you need!",United States
105,1397686236744138752,15679641,2021-05-26 22:49:01,"Dallas, Texas",The latest COVID-19 numbers and vaccine info for Richardson https://t.co/eICqN9DtnV,United States
106,1397686214816198657,927313577752412160,2021-05-26 22:48:56,,"#MorrisonLockdown 
#LNPfail on vaccine rollout and purpose-built quarantine sites.
#NewsCorpse https://t.co/GfEfZCfUfr",Italia
107,1397686214573051907,1028171,2021-05-26 22:48:55,"Pittsburgh, PA",@jaygerland @ArtparkNY Vaccine only also means less dumbasses to deal with too!,United States
110,1397686202933944320,158594098,2021-05-26 22:48:53,Somewhere in London,"IF GOOP DID THE VACCINE. 

#goop #vaccine https://t.co/ITT08p5MA2",United Kingdom
111,1397686202589872128,3243174200,2021-05-26 22:48:53,,"""Is it  known  whether  cross-reactive antibodies from  previous coronavirus infections or vaccine-induced  antibodies  may  influence  the  risk  of  unintended  pathogenesis following vaccination with COVID-19?""",Italia
112,1397686195182657537,1128862291074531330,2021-05-26 22:48:51,Straya 🇦🇺,"@DarylTractor @brucerguthrie Colbeck was just on ABC spouting off about how well the vaccine rollout is going.
They're all full of shit.",N/A
114,1397686180196634632,1318663615344422914,2021-05-26 22:48:47,xey/xem ,"MY FRIEND JUST CAME TO MY HOUSE AND BROUGHT ME ICE CREAM CUS I JUST GOT MY COVID VACCINE,,, IM ACTUALLY GONNA CRY I LOVE HER SO MUCH",N/A
116,1397686163310272512,931195397091061760,2021-05-26 22:48:43,,"@_daveclancy @SimonMcCoyTV Which other decisions?
The thing they are most eager to claim the credit for - the vaccine - is the one thing they conspicuously had the least to do with.",Italia
117,1397686163218051085,1390994565583233025,2021-05-26 22:48:43,"Colchester, England","@TheFreds @section92_ Senator Bob Hall speaking at the US Senate Committee: "" In 1976 45 million vaccines were given for Swine Flu. 53 people died and the program was halted, deemed 'too risky'.  Now we're approaching 4,000 Covid vaccine deaths"".",United Kingdom
119,1397686162815209473,3085629857,2021-05-26 22:48:43,Vancouver,"@richardzussman 3,580 (-202) active cases
137,517 (+455) recovered
2,979,951 (+52,464) vaccine doses administered
152,010 (+3,430) of which are second doses",Canada
122,1397686145455202308,803650296186544128,2021-05-26 22:48:39,United States,@NurseNinaPA @Slapout4 The wackos need a brain vaccine...cuz they wacko as sh*t.,United States
123,1397686145215987714,3085629857,2021-05-26 22:48:39,Vancouver,"3,580 (-202) active cases
137,517 (+455) recovered
2,979,951 (+52,464) vaccine doses administered
152,010 (+3,430) of which are second doses",Canada
124,1397686143131340804,1849534285,2021-05-26 22:48:38,Melbourne & Regional Victoria,Morrison &amp; Tehan choose people over profits. Support the vaccine waiver! via @GetUp https://t.co/NvGSdgU5xK,N/A
